master_customer_id,mean_qty,std_qty,n_weeks
179.0,2797.176470588235,3010.4044374477903,34
180.0,2692.8823529411766,2541.3850645555094,34
181.0,2103.1463414634145,2032.1848041083222,41
182.0,2602.3142857142857,3455.4978339846007,35
183.0,1997.7906976744187,1946.8603119374334,43
184.0,2044.857142857143,1920.9652879817122,42
185.0,2040.3809523809523,1511.3359290244005,42
186.0,2302.340909090909,3158.3452684224685,44
187.0,2878.4166666666665,3024.997335299888,36
188.0,2013.8333333333333,1906.3231998473982,42
189.0,1825.7173913043478,1598.284867712101,46
190.0,2773.0,3470.0210672122084,30
191.0,2076.586956521739,2100.8996123469155,46
192.0,1843.75,1953.8566766246438,44
193.0,1826.409090909091,1517.256341392854,44
194.0,2974.5555555555557,2335.896654282286,27
195.0,1905.0416666666667,1719.3605436551156,48
196.0,1779.25,2147.889468432827,44
197.0,3007.269230769231,3888.6272082336955,26
198.0,1858.857142857143,3195.209452056111,42
199.0,3875.0227272727275,2990.6628610240687,44
200.0,2277.62,1967.1173033924845,50
201.0,2351.151515151515,3012.88788085049,33
202.0,2354.4285714285716,3421.238348951463,35
203.0,4925.340425531915,5221.521077219931,47
204.0,2070.5405405405404,2105.04475532515,37
205.0,4544.108695652174,4313.81269478642,46
206.0,2019.1081081081081,1369.1761875056227,37
207.0,2128.2,2744.4542455436113,35
208.0,1513.469387755102,1886.4680965369387,49
209.0,2058.75,2115.164409347753,36
210.0,1678.2954545454545,1358.5317412824338,44
211.0,2099.7428571428572,1755.5332078025406,35
212.0,2040.5833333333333,1392.3028072739266,36
213.0,2519.3863636363635,2025.6473580918791,44
214.0,2958.733333333333,3612.7587026645115,30
215.0,2796.6153846153848,1892.1249869270916,26
216.0,1641.75,1417.5156473440134,44
217.0,1797.695652173913,1450.031216055789,46
218.0,2014.2894736842106,1939.2783822004476,38
219.0,2248.78125,4052.554023316057,32
220.0,1992.888888888889,3326.4086234494293,36
221.0,2860.4,3748.877165232278,25
222.0,1610.2045454545455,2320.538455753324,44
223.0,1712.7317073170732,1572.7495036462456,41
224.0,2005.4285714285713,1282.5088529843345,35
225.0,2453.681818181818,2523.972964259502,44
226.0,1659.9285714285713,2107.127074233693,42
227.0,1935.1944444444443,2567.30758154413,36
228.0,2174.75,1373.8807057195274,32
229.0,1927.2777777777778,1788.4003165017311,36
230.0,1932.8974358974358,2658.5592239215803,39
231.0,2916.659090909091,2105.1588896911476,44
232.0,2882.6666666666665,3097.1999680802696,42
233.0,1535.125,1397.9351889673537,48
234.0,1789.341463414634,1971.8357767541913,41
235.0,3324.2051282051284,3872.611115455818,39
236.0,1883.5833333333333,1624.4583338982345,36
237.0,1981.5882352941176,1363.426301586337,34
238.0,1872.972972972973,2201.407876368697,37
239.0,2080.96875,1844.1325171818373,32
240.0,2606.0,988.9276723686476,35
241.0,2002.121212121212,2123.0115072341187,33
242.0,1940.9705882352941,2011.2823662242183,34
