sku,mean_qty,std_qty,n_weeks,min_qty,max_qty,cv,range_ratio,pattern
11215,26.6,20.902950349970535,10,1.0,52.0,0.7858252011267118,52.0,bulk_oneoff
11216,26.4,20.451568806980717,10,1.0,52.0,0.7746806366280575,52.0,bulk_oneoff
11217,26.4,21.30831866770451,10,1.0,52.0,0.8071332828675951,52.0,bulk_oneoff
11218,24.1,24.51507472737721,10,1.0,54.0,1.0172230177334942,54.0,bulk_oneoff
11219,32.142857142857146,23.870683354473197,7,1.0,53.0,0.7426434821391661,53.0,insufficient_data
11220,27.666666666666668,22.1641602593015,9,1.0,52.0,0.8011142262398132,52.0,insufficient_data
11222,45.25,62.60476932995715,8,4.0,190.0,1.383530813921705,47.5,insufficient_data
11225,63.1,143.42277749175088,30,2.0,686.0,2.272944175780521,343.0,bulk_oneoff
11226,132.61904761904762,248.38608580000536,21,1.0,815.0,1.8729291927468985,815.0,bulk_oneoff
11227,63.82142857142857,115.87670764938643,28,1.0,586.0,1.8156395154912257,586.0,bulk_oneoff
11228,229.75,352.2822529084962,8,2.0,977.0,1.533328630722508,488.5,insufficient_data
11229,98.18518518518519,247.67566214352516,27,2.0,1170.0,2.5225359780743792,585.0,bulk_oneoff
11230,150.44444444444446,202.42536347448603,9,4.0,610.0,1.3455157099485777,152.5,insufficient_data
11231,113.68571428571428,255.66669150058863,35,2.0,1324.0,2.2488902243077664,662.0,bulk_oneoff
11232,222.16666666666666,467.4053785300164,12,4.0,1505.0,2.1038501659265556,376.25,bulk_oneoff
11233,8.75,7.350015460713486,12,1.0,26.0,0.8400017669386841,26.0,bulk_oneoff
11235,40.75,26.67551936389118,4,20.0,78.0,0.6546139721200289,3.9,insufficient_data
11236,295.5,533.7706837745427,8,1.0,1577.0,1.8063305711490447,1577.0,insufficient_data
11237,459.22222222222223,633.290963495015,9,1.0,1786.0,1.3790512149661591,1786.0,insufficient_data
11238,1161.888888888889,1794.421386160762,9,1.0,4983.0,1.5444001602225168,4983.0,insufficient_data
11239,387.04545454545456,368.1992831622736,22,1.0,1206.0,0.9513076018285401,1206.0,bulk_oneoff
11240,318.09090909090907,236.29576997714307,11,22.0,729.0,0.7428560930976205,33.13636363636363,bulk_oneoff
11241,112.53846153846153,176.59445790879894,13,12.0,680.0,1.5691920388341671,56.666666666666664,bulk_oneoff
11243,13.0,8.406346808612328,4,4.0,22.0,0.6466420622009483,5.5,insufficient_data
11244,8.25,6.1305247192498395,4,2.0,16.0,0.743093905363617,8.0,insufficient_data
11245,19.2,12.260272660682784,15,2.0,40.0,0.6385558677438951,20.0,cyclical
11246,38.0,10.535653752852738,5,23.0,50.0,0.27725404612770366,2.1739130434782608,insufficient_data
11247,40.333333333333336,26.151076227925838,12,8.0,102.0,0.6483737907750208,12.75,cyclical
11248,25.23076923076923,20.5189093527322,13,3.0,65.0,0.8132494560534105,21.666666666666668,bulk_oneoff
11249,26.416666666666668,18.947095403845527,12,4.0,60.0,0.7172402045619758,15.0,bulk_oneoff
11252,367.06976744186045,555.046561553895,43,2.0,3492.0,1.5121009976442907,1746.0,bulk_oneoff
11253,726.9347826086956,1043.109356196898,46,4.0,5127.0,1.4349421449522208,1281.75,bulk_oneoff
11266,6012.333333333333,5021.404509696465,9,782.0,15924.0,0.8351839845367519,20.36317135549872,insufficient_data
11267,1099.3333333333333,869.3470729998079,3,281.0,2012.0,0.7907947904789036,7.160142348754448,insufficient_data
11268,6001.678571428572,8323.023791928346,28,7.0,34080.0,1.386782663028758,4868.571428571428,bulk_oneoff
11269,6210.727272727273,7636.418463818327,33,1.0,33090.0,1.229553018267537,33090.0,bulk_oneoff
11270,12712.708333333334,15685.598039850236,24,469.0,53465.0,1.233851798418268,113.99786780383795,bulk_oneoff
11271,11982.714285714286,17491.49461004181,28,205.0,69427.0,1.4597272531896262,338.66829268292685,bulk_oneoff
11273,54.0,30.89498341155081,5,21.0,88.0,0.5721293224361261,4.190476190476191,insufficient_data
11274,54.0,30.89498341155081,5,21.0,88.0,0.5721293224361261,4.190476190476191,insufficient_data
11282,15.0,8.831760866327848,5,6.0,25.0,0.5887840577551898,4.166666666666667,insufficient_data
