sku,year_week,weekly_quantity,category,description
10020,2025-W15,2258.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10020,2025-W16,1520.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10020,2025-W17,1955.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10020,2025-W18,2082.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10020,2025-W19,1077.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10020,2025-W20,2088.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10020,2025-W21,1858.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10020,2025-W22,3819.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10020,2025-W23,2798.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10020,2025-W24,1590.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10020,2025-W25,1448.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10020,2025-W26,557.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (1)
10021,2025-W02,8.0,Home & Garden,STYLIN DREDZ MOISTURING SPLASH 6x350ML
10021,2025-W03,40.0,Home & Garden,STYLIN DREDZ MOISTURING SPLASH 6x350ML
10021,2025-W04,12.0,Home & Garden,STYLIN DREDZ MOISTURING SPLASH 6x350ML
10021,2025-W05,40.0,Home & Garden,STYLIN DREDZ MOISTURING SPLASH 6x350ML
10021,2025-W09,5.0,Home & Garden,STYLIN DREDZ MOISTURING SPLASH 6x350ML
10021,2025-W11,5.0,Home & Garden,STYLIN DREDZ MOISTURING SPLASH 6x350ML
10021,2025-W14,2290.0,Home & Garden,STYLIN DREDZ MOISTURING SPLASH 6x350ML
10021,2025-W15,1091.0,Home & Garden,STYLIN DREDZ MOISTURING SPLASH 6x350ML
10021,2025-W16,27.0,Home & Garden,STYLIN DREDZ MOISTURING SPLASH 6x350ML
10021,2025-W17,26.0,Home & Garden,STYLIN DREDZ MOISTURING SPLASH 6x350ML
10022,2025-W02,8.0,Home & Garden,STYLIN DREDZ SPRAY SHAMPOO 6x350ML
10022,2025-W03,40.0,Home & Garden,STYLIN DREDZ SPRAY SHAMPOO 6x350ML
10022,2025-W04,68.0,Home & Garden,STYLIN DREDZ SPRAY SHAMPOO 6x350ML
10022,2025-W05,600.0,Home & Garden,STYLIN DREDZ SPRAY SHAMPOO 6x350ML
10022,2025-W09,5.0,Home & Garden,STYLIN DREDZ SPRAY SHAMPOO 6x350ML
10022,2025-W11,5.0,Home & Garden,STYLIN DREDZ SPRAY SHAMPOO 6x350ML
10022,2025-W14,12.0,Home & Garden,STYLIN DREDZ SPRAY SHAMPOO 6x350ML
10022,2025-W15,25.0,Home & Garden,STYLIN DREDZ SPRAY SHAMPOO 6x350ML
10022,2025-W16,9.0,Home & Garden,STYLIN DREDZ SPRAY SHAMPOO 6x350ML
10022,2025-W18,6.0,Home & Garden,STYLIN DREDZ SPRAY SHAMPOO 6x350ML
10023,2025-W02,8.0,Hardware,STYLIN DREDZ OIL MOISTUSING SPRAY 6x350ML
10023,2025-W03,40.0,Hardware,STYLIN DREDZ OIL MOISTUSING SPRAY 6x350ML
10023,2025-W04,12.0,Hardware,STYLIN DREDZ OIL MOISTUSING SPRAY 6x350ML
10023,2025-W05,50.0,Hardware,STYLIN DREDZ OIL MOISTUSING SPRAY 6x350ML
10023,2025-W06,1080.0,Hardware,STYLIN DREDZ OIL MOISTUSING SPRAY 6x350ML
10023,2025-W07,210.0,Hardware,STYLIN DREDZ OIL MOISTUSING SPRAY 6x350ML
