customer_id,year_week,weekly_quantity,customer_name
HB_ALL007,2024-W04,689.0,All Nation Shop
HB_ALL007,2025-W02,622.0,All Nation Shop
HB_ALL007,2025-W04,700.0,All Nation Shop
HB_ALL007,2025-W05,689.0,All Nation Shop
HB_ALL007,2025-W10,689.0,All Nation Shop
HB_ALL007,2025-W11,713.0,All Nation Shop
HB_ALL007,2025-W12,402.0,All Nation Shop
HB_ALL007,2025-W13,689.0,All Nation Shop
HB_ALL007,2025-W14,2114.0,All Nation Shop
HB_ALL007,2025-W16,296.0,All Nation Shop
HB_ALL007,2025-W17,117.0,All Nation Shop
HB_ALL007,2025-W18,1746.0,All Nation Shop
HB_ALL007,2025-W19,630.0,All Nation Shop
HB_ALL007,2025-W21,2440.0,All Nation Shop
HB_ALL007,2025-W22,647.0,All Nation Shop
HB_ALL007,2025-W23,6339.0,All Nation Shop
HB_ALL007,2025-W25,790.0,All Nation Shop
HB_ALS001,2024-W03,580.0,Alshabaab Shop
HB_ALS001,2024-W04,3392.0,Alshabaab Shop
HB_ALS001,2025-W02,3780.0,Alshabaab Shop
HB_ALS001,2025-W03,580.0,Alshabaab Shop
HB_ALS001,2025-W04,2240.0,Alshabaab Shop
HB_ALS001,2025-W05,1152.0,Alshabaab Shop
HB_ALS001,2025-W11,2754.0,Alshabaab Shop
HB_ALS001,2025-W13,3223.0,Alshabaab Shop
HB_ALS001,2025-W14,2859.0,Alshabaab Shop
HB_ALS001,2025-W15,1334.0,Alshabaab Shop
HB_ALS001,2025-W16,984.0,Alshabaab Shop
HB_ALS001,2025-W17,1159.0,Alshabaab Shop
HB_ALS001,2025-W18,4858.0,Alshabaab Shop
HB_ALS001,2025-W19,868.0,Alshabaab Shop
HB_ALS001,2025-W20,8388.0,Alshabaab Shop
HB_ALS001,2025-W21,3174.0,Alshabaab Shop
HB_ALS001,2025-W22,4175.0,Alshabaab Shop
HB_ALS001,2025-W23,2421.0,Alshabaab Shop
HB_ALS001,2025-W24,2927.0,Alshabaab Shop
HB_ALS001,2025-W25,3277.0,Alshabaab Shop
HB_ARS001,2024-W03,2209.0,Arsenal Shop
HB_ARS001,2024-W04,770.0,Arsenal Shop
HB_ARS001,2025-W02,538.0,Arsenal Shop
HB_ARS001,2025-W03,2209.0,Arsenal Shop
HB_ARS001,2025-W05,770.0,Arsenal Shop
HB_ARS001,2025-W10,800.0,Arsenal Shop
HB_ARS001,2025-W12,770.0,Arsenal Shop
HB_ARS001,2025-W14,2849.0,Arsenal Shop
HB_ARS001,2025-W15,617.0,Arsenal Shop
HB_ARS001,2025-W16,4757.0,Arsenal Shop
HB_ARS001,2025-W17,2358.0,Arsenal Shop
HB_ARS001,2025-W18,1932.0,Arsenal Shop
HB_ARS001,2025-W19,1172.0,Arsenal Shop
HB_ARS001,2025-W20,3420.0,Arsenal Shop
HB_ARS001,2025-W21,1600.0,Arsenal Shop
HB_ARS001,2025-W22,1320.0,Arsenal Shop
HB_ARS001,2025-W23,1419.0,Arsenal Shop
HB_ARS001,2025-W24,2424.0,Arsenal Shop
HB_ARS001,2025-W25,936.0,Arsenal Shop
HB_ARS001,2025-W26,3331.0,Arsenal Shop
HB_AWD001,2024-W03,96.0,Awdal Cash Stire
HB_AWD001,2024-W05,387.0,Awdal Cash Stire
HB_AWD001,2025-W03,1218.0,Awdal Cash Stire
HB_AWD001,2025-W05,387.0,Awdal Cash Stire
HB_AWD001,2025-W11,786.0,Awdal Cash Stire
HB_AWD001,2025-W12,199.0,Awdal Cash Stire
HB_AWD001,2025-W13,620.0,Awdal Cash Stire
HB_AWD001,2025-W17,1453.0,Awdal Cash Stire
HB_AWD001,2025-W18,321.0,Awdal Cash Stire
HB_AWD001,2025-W19,322.0,Awdal Cash Stire
HB_AWD001,2025-W20,735.0,Awdal Cash Stire
HB_AWD001,2025-W22,208.0,Awdal Cash Stire
HB_AWD001,2025-W24,3511.0,Awdal Cash Stire
HB_BAK002,2024-W04,450.0,Bakaal Cash Store
HB_BAK002,2025-W02,3560.0,Bakaal Cash Store
HB_BAK002,2025-W04,450.0,Bakaal Cash Store
