master_customer_id,customer_name,original_ids,num_ids,total_volume
38,EVERGLOW DISTRIBUTORS,605,1,309243.0
39,FARMAKH DISTRIBUTORS,31,1,308893.0
40,NUMAIN CASH AND CARRY,"419, 188",2,304513.0
41,MOTLANA CASH AND CARRY,502,1,303110.0
42,ECORBIT (PTY) LTD,396,1,296442.0
43,QCCC (PTY) LTD,53,1,295851.0
44,CHIBWAYS TRADING,601,1,292198.0
45,GTR CASH AND CARRY (PTY) LTD,69,1,292145.0
46,TRIPLE E - KZN,81,1,290320.0
47,AL RAHMA CHINA STORE (PTA WEST),97,1,289634.0
48,ESINENHLANHLA LOGISTICS & PROJECTS,47,1,287236.0
49,KIMPERS DIAPERS,10,1,275171.0
50,AAH INVESTMENT PROPERTIES (Pty) Ltd,50,1,270894.0
51,COMMUNITY HARDWARE,104,1,262325.0
52,ELENKIN INVESTMENT (PRIVATE) LIMITED,173,1,261689.0
53,MABHOKO 0024,113,1,250575.0
54,SIDDIQ CASH AND CARRY PTY (LTD) MADIBA HAWKERS,647,1,247299.0
55,ANE DISTRIBUTORS,440,1,245784.0
56,FIRST CHOICE CASH AND CARRY,387,1,245482.0
57,NEWTOWN DISTRIBUTORS (PTY) LTD,121,1,239949.0
58,CQY 168 CC FEGLIN TRADING GENERAL STORE,414,1,236145.0
59,AFRICA TRADE DISTRIBUTORS,597,1,235587.0
60,DAILY DIAPERS WHOLESALERS AND RETAILRS (PTY) LTD,81,1,229744.0
61,RAMADAN DISTRIBUTORS,532,1,228603.0
62,STAR COSMETICS HAIR & BEAUTY,315,1,223223.0
63,SUPERSET NETWORK STRATEGIES CC,"657, 629",2,220836.0
64,KGG HARDWARE,102,1,216682.0
65,STORMING DISTRIBUTORS CC,113,1,215798.0
66,STODANOX (PTY) LTD T/A AALIYAH WHOLESLAER,514,1,211036.0
67,HONEYDEW CASH AND CARRY,78,1,209805.0
68,KISMAAYO CASH AND CARRY,70,1,208456.0
69,MADIBA STORE THEMBISA,474,1,208403.0
70,SAKEENA DIAPERS (PTY) LTD,9,1,207995.0
71,GEESEY TRADERS,12,1,198481.0
72,BEDER CASH & CARRY,72,1,196467.0
73,AALZ NOOR INVESTMENTS PTY LTD,487,1,193072.0
74,DUMA AFRICAN MARKET,399,1,192749.0
75,SOUTHERN ELAND (PTY) LTD,"422, 0",2,190857.0
76,DIEPSLOOT CASH AND CARRY,54,1,187152.0
77,CAMEL ROCK TRADING 272CC T/A CHOICE MALAMULELE,515,1,183357.0
78,MS GLOBAL,530,1,177650.0
79,AL BARAKA CASH & CARRY,77,1,175639.0
80,MAKANYE CASH & CARRY MANKWENG,354,1,171267.0
81,786 SUPERMARKET WHOLESALE & RETAIL,361,1,166926.0
82,CHEAP CHEAP ZEBEDIELA,353,1,165566.0
83,MORE 4 LESS TRADING,622,1,162037.0
84,DANXING SUNSHINE (PTY) LTD,664,1,161657.0
85,RAJA SOFT DRINKS & HARDWARE,57,1,160743.0
86,SHALOM WHOLESALER,350,1,159684.0
87,DROP TARGET DISTRIBUTION,51,1,158612.0
88,M PREMJEE & SONS (PTY) LTD,380,1,157015.0
89,QISMAT HARDWARE,52,1,155597.0
90,AI RAINY DISTRIBUTORS,624,1,154822.0
91,NJ WHOLESALER,593,1,154588.0
92,HAMZA TRADING,332,1,154569.0
93,BLUEMOON CASH N CARRY,15,1,153510.0
94,MAHARANI DISTRIBUTORS,613,1,153304.0
95,LNA INVESTMENTS,607,1,152861.0
96,HASHIR RAZA TRADING,390,1,151603.0
97,MABINS CASH AND CARRY,509,1,151183.0
98,MUKKARAMMA MEAT & EAT,352,1,150693.0
99,FZS CONSULTANTS (PTY) LTD,111,1,149177.0
100,METRO AD'EED CASH AND CARRY (PTY) LTD,60,1,147884.0
101,LIMPOPO CASH & CARRY,418,1,145770.0
102,"Cut Price C,n,carry",HB_CUT001,1,143609.0
103,DHOOMBE GENERAL TRADING (PTY) LTD,462,1,142379.0
104,UITDRAAI STORE MIBA,381,1,140665.0
105,SHUBABES TRADING,619,1,139981.0
106,TRIPPLE D WHOLESALERS,457,1,138503.0
107,Hope Cash&Carry,HB_HOP001,1,137578.0
108,BUNNING WHOLESALER & RETAIL CC,594,1,136825.0
109,PANCHBHAYA GENERAL TRADING (PTY) LTD,484,1,136700.0
110,KIATRA TRADING,398,1,132877.0
111,HAWKERS PARADISE CASH & CARRY,157,1,130994.0
112,HAJI YAMIN & SONS (PTY) LTD,141,1,129725.0
113,MAMAS CASH & CARRY,411,1,128967.0
114,BEST HARDWARE & WHOLESALE,137,1,127756.0
115,MHLARE SOLUTION,345,1,127734.0
116,LANDGANO SUPERMARKET CC,63,1,127659.0
117,NOOR A LA NOOR TRADING CC T/A JABULA,512,1,124437.0
118,MM ENTERPRISE,508,1,123909.0
119,JJ's Supermarket,"""HB_JJ001""",1,121992.0
120,BUSY CORNER HOP,HB_BUS001,1,120054.0
121,EFREM WHOLESALE,682,1,117847.0
122,WARICH CASH & CARRY JANE FURSE,493,1,117496.0
123,DISCOUNT WHOLESALER & RETAILER,155,1,116711.0
124,ITSTYM GENERAL TRADING  CC,417,1,116408.0
125,CAPITAL CASH & CARRY,478,1,115493.0
126,QOLWENI DISCOUNT SHOP,HB_QOL001,1,115320.0
127,AL SYED TRADINGS,686,1,114445.0
128,NJ Comunitty Cash Store,HB_NJ 001,1,113573.0
129,HAARLEM SUPERMARKET,HB_HAA001,1,113561.0
130,OSIZWENI WHOLESALER,134,1,110746.0
131,VICTORIA WHOLSALLER,"186, 493",2,110436.0
132,NIGANJI TRADING,595,1,110172.0
133,ROTENDA CONSORTIUM (PTY) LTD,"376, 51",2,109025.0
134,GAP BUILDING SUPPLIES,98,1,107948.0
135,SAJEED SUPERMARKET,HB_SAJ001,1,107780.0
136,METRO AWASH (PTY) LTD,80,1,107322.0
137,CRUZ GROIP (PTY) LTD,432,1,105407.0
138,CENTRAL HIGH TRADING 376CC,355,1,105276.0
139,THOKOMAN FOODS SA (Pty) Ltd,815,1,104912.0
140,Arsenal Shop,HB_ARS001,1,103426.0
141,ROYAL SUPERMRKET MOKOPANE,513,1,102908.0
142,PEEK-ABOO BABY SHOP,90,1,102481.0
143,GREAT VALUE SUPERMARKET (OLD CHECK U),396,1,102385.0
144,Alshabaab Shop,HB_ALS001,1,101301.0
145,SCORE ONE TRADING (HYPERSTAR CASH & CARRY),422,1,101032.0
146,SAJAL TRADERS,893,1,100882.0
147,QORAHAY GENERAL TRADING,337,1,100066.0
148,IMANSAME GENERAL TRADING,206,1,99727.0
149,MH MAGNAT PTY LTD,115,1,99657.0
150,ABANTU CASH AND CARRY,724,1,99360.0
151,NORTHERN CAPE HARDWARE GANYESA,171,1,98170.0
152,OCEAN CASH & CARRY,365,1,97890.0
153,ASGARD TRADING,491,1,97863.0
154,SUPER SAVE POLOKWANE,485,1,96918.0
155,WORLD BLOOM (PTY) LTD,545,1,96772.0
156,LANGA CASH N CARRY,335,1,96051.0
157,TRIPLE E CONSTRUCTION - HYDE PARK,66,1,95826.0
158,SA TRADING WHOLESALER,171,1,95174.0
159,Friendly Shop Super Market,HB_FRI004,1,93202.0
160,Golden Star Supermarket,HB_GOL001,1,92887.0
161,AFRICA HARDWARE KWAMHLANGA,49,1,92627.0
162,SWEET CORNER & COSMETICS,520,1,91953.0
163,RONSAM MUTHI SHOP & COSMETICS,958,1,91419.0
164,ONE BY ONE KEMPTON PARK,475,1,91281.0
165,ROODEPOORT CASH AND CARRY,50,1,91256.0
166,LEBOWAKGOMO CASH & CARRY,362,1,91191.0
167,COSMO CASH AND CARRY,385,1,91085.0
168,YUSUF BUILDING MATERIAL CC,44,1,90960.0
169,Salamuuni Super Market,HB_SAL001,1,90790.0
170,TANAAT CASH AND CARRY,112,1,89188.0
171,Fourstar Supermatket,HB_FOU001,1,88636.0
172,HBIN TRADING,685,1,88299.0
173,SALAXEEY CASH AND CERRY,140,1,88186.0
