category_l1,date,period,quantity,revenue,num_orders,num_customers
Baby and Toddler,2025-08-16,H2,15694,2735835.33,54,47
Baby and Toddler,2025-08-18,H2,23950,4091921.97,57,50
Baby and Toddler,2025-08-19,H2,18677,3055182.21,58,54
Baby and Toddler,2025-08-20,H2,17707,3208496.18,57,51
Baby and Toddler,2025-08-21,H2,18086,3344269.89,61,56
Baby and Toddler,2025-08-22,H2,14632,2340188.09,58,52
Baby and Toddler,2025-08-23,H2,14032,2519647.25,49,45
Baby and Toddler,2025-08-25,H2,17440,3027531.17,56,53
Baby and Toddler,2025-08-26,H2,12009,2551853.34,62,56
Baby and Toddler,2025-08-27,H2,18760,3287868.01,61,55
Baby and Toddler,2025-08-28,H2,19933,3351834.47,68,63
Baby and Toddler,2025-08-29,H2,26399,4767579.65,104,96
Baby and Toddler,2025-08-30,H2,26295,4404791.2,69,65
Baby and Toddler,2025-09-01,H2,18370,3340948.1,25,25
Baby and Toddler,2025-09-02,H2,29144,4625984.92,36,35
Baby and Toddler,2025-09-03,H2,30995,5558084.05,38,37
Baby and Toddler,2025-09-04,H2,42242,6551669.96,47,45
Baby and Toddler,2025-09-05,H2,18920,3318363.65,30,30
Baby and Toddler,2025-09-06,H2,7944,1667162.72,15,15
Baby and Toddler,2025-09-08,H2,7885,1666091.7,23,23
Baby and Toddler,2025-09-09,H2,23078,4162586.07,38,37
Baby and Toddler,2025-09-10,H2,23553,3999286.93,56,51
Baby and Toddler,2025-09-11,H2,23367,4587179.35,60,57
Baby and Toddler,2025-09-12,H2,12527,2347398.3,15,15
Baby and Toddler,2025-09-13,H2,15510,2349679.39,24,24
Baby and Toddler,2025-09-15,H2,15680,2644827.45,25,25
Baby and Toddler,2025-09-16,H2,12925,2158758.54,26,26
Baby and Toddler,2025-09-17,H2,24766,4528537.75,42,41
Baby and Toddler,2025-09-18,H2,17171,3055258.4,33,31
Baby and Toddler,2025-09-19,H2,15020,2856634.5,17,17
Baby and Toddler,2025-09-20,H2,17034,3176794.9,32,32
Baby and Toddler,2025-09-22,H2,12299,2085266.5,15,15
Baby and Toddler,2025-09-23,H2,15846,2645217.5,39,38
Baby and Toddler,2025-09-24,H2,12815,2295478.35,24,24
Baby and Toddler,2025-09-25,H2,15550,2853657.5,22,22
Baby and Toddler,2025-09-26,H2,12982,2297122.2,15,15
Baby and Toddler,2025-09-27,H2,22172,3523792.92,45,41
Baby and Toddler,2025-09-29,H2,17188,3050392.3,39,36
