customer_id,customer_name,region_name,year_week,period,quantity,revenue,num_orders,date
4,SEGWAGWA CC,Gauteng,2025-W37,H2,8587,3001729.58,13,2025-09-08
4,SEGWAGWA CC,Gauteng,2025-W38,H2,29703,3081485.42,7,2025-09-16
4,SEGWAGWA CC,Gauteng,2025-W39,H2,8595,1488154.85,6,2025-09-23
4,SEGWAGWA CC,Gauteng,2025-W40,H2,6051,1465613.06,7,2025-09-29
4,SEGWAGWA CC,Gauteng,2025-W41,H2,7693,952103.02,13,2025-10-06
4,SEGWAGWA CC,Gauteng,2025-W43,H2,20673,5827096.01,10,2025-10-20
4,SEGWAGWA CC,Gauteng,2025-W44,H2,36500,5678213.15,8,2025-10-28
4,SEGWAGWA CC,Gauteng,2025-W45,H2,28070,1254349.57,3,2025-11-04
4,SEGWAGWA CC,Gauteng,2025-W46,H2,26059,1243098.27,4,2025-11-10
4,SEGWAGWA CC,Gauteng,2025-W47,H2,215659,6373978.2700000005,18,2025-11-17
4,SEGWAGWA CC,Gauteng,2025-W48,H2,59676,1910277.03,4,2025-11-24
4,SEGWAGWA CC,Gauteng,2025-W49,H2,16304,2530929.28,17,2025-12-01
4,SEGWAGWA CC,Gauteng,2025-W50,H2,3615,545460.71,5,2025-12-08
4,SEGWAGWA CC,Gauteng,2025-W51,H2,491,359007.33999999997,3,2025-12-16
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W27,H2,1256,196467.0,3,2025-06-30
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W28,H2,4900,1800985.0,3,2025-07-08
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W29,H2,5885,1040221.0,5,2025-07-15
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W30,H2,11125,1453080.4,7,2025-07-21
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W31,H2,14375,2658328.45,13,2025-07-28
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W32,H2,11065,1981119.4100000001,4,2025-08-04
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W33,H2,22084,3987788.91,8,2025-08-11
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W34,H2,19651,2303224.61,6,2025-08-18
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W35,H2,17099,2978384.7199999997,5,2025-08-26
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W36,H2,16994,2503486.14,15,2025-09-03
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W37,H2,12875,3212789.08,8,2025-09-09
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W38,H2,4918,1259340.15,7,2025-09-15
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W39,H2,20624,3757781.51,5,2025-09-23
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W40,H2,8207,1787082.82,8,2025-09-29
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W41,H2,10787,1462921.2,11,2025-10-06
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W42,H2,225,94545.77,2,2025-10-13
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W43,H2,35671,3017610.38,5,2025-10-20
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W44,H2,53488,6810031.91,10,2025-10-27
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W45,H2,28825,1483887.57,2,2025-11-03
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W46,H2,51167,2575507.17,7,2025-11-11
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W47,H2,131962,3485680.65,14,2025-11-18
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W48,H2,109305,2959748.89,6,2025-11-24
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W49,H2,10442,1612731.92,9,2025-12-01
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W50,H2,4474,672843.83,7,2025-12-08
5,CRESCENT INTERNATIONAL PTY LTD,Gauteng,2025-W51,H2,63,13362.0,2,2025-12-18
6,"S.H PINTOS , EI",Gauteng,2025-W27,H2,10750,2589947.09,2,2025-06-30
6,"S.H PINTOS , EI",Gauteng,2025-W28,H2,325,53939.54,2,2025-07-09
6,"S.H PINTOS , EI",Gauteng,2025-W29,H2,3990,1779626.69,3,2025-07-14
6,"S.H PINTOS , EI",Gauteng,2025-W30,H2,2463,375214.81,10,2025-07-21
6,"S.H PINTOS , EI",Gauteng,2025-W31,H2,23759,4749264.72,14,2025-07-28
6,"S.H PINTOS , EI",Gauteng,2025-W32,H2,1193,742489.8400000001,2,2025-08-06
6,"S.H PINTOS , EI",Gauteng,2025-W33,H2,34607,5123765.29,9,2025-08-11
6,"S.H PINTOS , EI",Gauteng,2025-W34,H2,9538,1564667.35,5,2025-08-18
6,"S.H PINTOS , EI",Gauteng,2025-W35,H2,13333,2388555.98,6,2025-08-25
6,"S.H PINTOS , EI",Gauteng,2025-W36,H2,17545,3695658.52,16,2025-09-01
6,"S.H PINTOS , EI",Gauteng,2025-W37,H2,3789,1481825.55,11,2025-09-08
6,"S.H PINTOS , EI",Gauteng,2025-W38,H2,4287,2098661.8200000003,7,2025-09-15
6,"S.H PINTOS , EI",Gauteng,2025-W39,H2,7547,3602524.44,8,2025-09-23
6,"S.H PINTOS , EI",Gauteng,2025-W40,H2,8537,1092844.37,7,2025-09-30
6,"S.H PINTOS , EI",Gauteng,2025-W41,H2,14465,2309506.78,12,2025-10-06
6,"S.H PINTOS , EI",Gauteng,2025-W42,H2,2432,207800.78,3,2025-10-15
6,"S.H PINTOS , EI",Gauteng,2025-W43,H2,9854,2358506.05,7,2025-10-20
6,"S.H PINTOS , EI",Gauteng,2025-W44,H2,33385,6442218.33,12,2025-10-27
6,"S.H PINTOS , EI",Gauteng,2025-W45,H2,34874,1696589.26,4,2025-11-04
6,"S.H PINTOS , EI",Gauteng,2025-W46,H2,29557,1305559.57,3,2025-11-13
6,"S.H PINTOS , EI",Gauteng,2025-W47,H2,223610,6727678.43,19,2025-11-17
6,"S.H PINTOS , EI",Gauteng,2025-W48,H2,76003,2596302.5300000003,4,2025-11-25
6,"S.H PINTOS , EI",Gauteng,2025-W49,H2,9807,2568923.56,11,2025-12-01
6,"S.H PINTOS , EI",Gauteng,2025-W50,H2,10932,3517019.96,5,2025-12-08
6,"S.H PINTOS , EI",Gauteng,2025-W51,H2,218,80022.77,2,2025-12-17
7,COALITION TRADING 1316CC T/A,Gauteng,2025-W27,H2,19661,3649425.27,4,2025-06-30
7,COALITION TRADING 1316CC T/A,Gauteng,2025-W28,H2,2215,521727.35,6,2025-07-08
7,COALITION TRADING 1316CC T/A,Gauteng,2025-W29,H2,4360,1234046.9,4,2025-07-17
7,COALITION TRADING 1316CC T/A,Gauteng,2025-W30,H2,14288,3026007.6,11,2025-07-21
7,COALITION TRADING 1316CC T/A,Gauteng,2025-W31,H2,16673,2496487.7,11,2025-07-28
7,COALITION TRADING 1316CC T/A,Gauteng,2025-W32,H2,12965,1601649.84,5,2025-08-04
7,COALITION TRADING 1316CC T/A,Gauteng,2025-W33,H2,26891,5431398.9399999995,11,2025-08-11
7,COALITION TRADING 1316CC T/A,Gauteng,2025-W34,H2,8220,919105.66,4,2025-08-20
7,COALITION TRADING 1316CC T/A,Gauteng,2025-W35,H2,4553,852107.14,3,2025-08-28
7,COALITION TRADING 1316CC T/A,Gauteng,2025-W36,H2,16472,3480198.25,12,2025-09-01
7,COALITION TRADING 1316CC T/A,Gauteng,2025-W37,H2,6525,874130.8200000001,8,2025-09-08
7,COALITION TRADING 1316CC T/A,Gauteng,2025-W38,H2,13177,1346174.8399999999,5,2025-09-16
7,COALITION TRADING 1316CC T/A,Gauteng,2025-W39,H2,18593,2206535.31,8,2025-09-23
7,COALITION TRADING 1316CC T/A,Gauteng,2025-W40,H2,1684,149598.9,6,2025-09-30
7,COALITION TRADING 1316CC T/A,Gauteng,2025-W41,H2,3919,951884.34,7,2025-10-06
7,COALITION TRADING 1316CC T/A,Gauteng,2025-W43,H2,15959,2547235.26,9,2025-10-24
7,COALITION TRADING 1316CC T/A,Gauteng,2025-W44,H2,41566,6543270.57,15,2025-10-27
7,COALITION TRADING 1316CC T/A,Gauteng,2025-W45,H2,23266,1185493.8699999999,3,2025-11-03
7,COALITION TRADING 1316CC T/A,Gauteng,2025-W46,H2,39534,1396550.6300000001,3,2025-11-10
7,COALITION TRADING 1316CC T/A,Gauteng,2025-W47,H2,200993,5261018.84,19,2025-11-17
7,COALITION TRADING 1316CC T/A,Gauteng,2025-W48,H2,102792,2388148.81,5,2025-11-26
7,COALITION TRADING 1316CC T/A,Gauteng,2025-W49,H2,13185,2238039.2800000003,12,2025-12-01
7,COALITION TRADING 1316CC T/A,Gauteng,2025-W50,H2,5077,807818.87,5,2025-12-08
7,COALITION TRADING 1316CC T/A,Gauteng,2025-W51,H2,738,131526.0,2,2025-12-17
8,DELPH LIKE TRADING TA RITE PRICE WHOLESALERS,Gauteng,2025-W27,H2,8503,1951121.44,4,2025-06-30
8,DELPH LIKE TRADING TA RITE PRICE WHOLESALERS,Gauteng,2025-W28,H2,4552,1938416.0,2,2025-07-08
8,DELPH LIKE TRADING TA RITE PRICE WHOLESALERS,Gauteng,2025-W29,H2,1383,236392.18,3,2025-07-15
8,DELPH LIKE TRADING TA RITE PRICE WHOLESALERS,Gauteng,2025-W30,H2,1348,307645.12,6,2025-07-21
8,DELPH LIKE TRADING TA RITE PRICE WHOLESALERS,Gauteng,2025-W31,H2,9259,3616431.6,13,2025-07-28
8,DELPH LIKE TRADING TA RITE PRICE WHOLESALERS,Gauteng,2025-W32,H2,11995,1255554.84,2,2025-08-08
8,DELPH LIKE TRADING TA RITE PRICE WHOLESALERS,Gauteng,2025-W33,H2,35723,4995114.42,9,2025-08-11
8,DELPH LIKE TRADING TA RITE PRICE WHOLESALERS,Gauteng,2025-W34,H2,9667,1487572.46,7,2025-08-19
8,DELPH LIKE TRADING TA RITE PRICE WHOLESALERS,Gauteng,2025-W35,H2,8014,1251505.6400000001,4,2025-08-25
8,DELPH LIKE TRADING TA RITE PRICE WHOLESALERS,Gauteng,2025-W36,H2,12366,2205507.18,12,2025-09-02
8,DELPH LIKE TRADING TA RITE PRICE WHOLESALERS,Gauteng,2025-W37,H2,13095,2558266.45,12,2025-09-08
8,DELPH LIKE TRADING TA RITE PRICE WHOLESALERS,Gauteng,2025-W38,H2,2954,720744.26,6,2025-09-16
8,DELPH LIKE TRADING TA RITE PRICE WHOLESALERS,Gauteng,2025-W39,H2,15876,3116008.53,4,2025-09-23
8,DELPH LIKE TRADING TA RITE PRICE WHOLESALERS,Gauteng,2025-W40,H2,5994,1864468.55,8,2025-09-29
8,DELPH LIKE TRADING TA RITE PRICE WHOLESALERS,Gauteng,2025-W41,H2,16735,2913290.22,13,2025-10-07
8,DELPH LIKE TRADING TA RITE PRICE WHOLESALERS,Gauteng,2025-W42,H2,960,159902.32,2,2025-10-16
8,DELPH LIKE TRADING TA RITE PRICE WHOLESALERS,Gauteng,2025-W43,H2,10835,1929563.35,3,2025-10-25
8,DELPH LIKE TRADING TA RITE PRICE WHOLESALERS,Gauteng,2025-W44,H2,24710,6296558.1,14,2025-10-27
8,DELPH LIKE TRADING TA RITE PRICE WHOLESALERS,Gauteng,2025-W45,H2,53207,2147740.93,5,2025-11-03
8,DELPH LIKE TRADING TA RITE PRICE WHOLESALERS,Gauteng,2025-W46,H2,16464,848209.59,3,2025-11-10
