original_customer_id,master_customer_id,customer_name
10,49,KIMPERS DIAPERS
50,50,AAH INVESTMENT PROPERTIES (Pty) Ltd
104,51,COMMUNITY HARDWARE
173,52,ELENKIN INVESTMENT (PRIVATE) LIMITED
113,53,MABHOKO 0024
647,54,SIDDIQ CASH AND CARRY PTY (LTD) MADIBA HAWKERS
440,55,ANE DISTRIBUTORS
387,56,FIRST CHOICE CASH AND CARRY
121,57,NEWTOWN DISTRIBUTORS (PTY) LTD
414,58,CQY 168 CC FEGLIN TRADING GENERAL STORE
597,59,AFRICA TRADE DISTRIBUTORS
81,60,DAILY DIAPERS WHOLESALERS AND RETAILRS (PTY) LTD
532,61,RAMADAN DISTRIBUTORS
315,62,STAR COSMETICS HAIR & BEAUTY
657,63,SUPERSET NETWORK STRATEGIES CC
629,63,SUPERSET NETWORK STRATEGIES CC
102,64,KGG HARDWARE
113,65,STORMING DISTRIBUTORS CC
514,66,STODANOX (PTY) LTD T/A AALIYAH WHOLESLAER
78,67,HONEYDEW CASH AND CARRY
70,68,KISMAAYO CASH AND CARRY
474,69,MADIBA STORE THEMBISA
9,70,SAKEENA DIAPERS (PTY) LTD
12,71,GEESEY TRADERS
72,72,BEDER CASH & CARRY
487,73,AALZ NOOR INVESTMENTS PTY LTD
399,74,DUMA AFRICAN MARKET
422,75,SOUTHERN ELAND (PTY) LTD
0,75,SOUTHERN ELAND (PTY) LTD
54,76,DIEPSLOOT CASH AND CARRY
515,77,CAMEL ROCK TRADING 272CC T/A CHOICE MALAMULELE
530,78,MS GLOBAL
77,79,AL BARAKA CASH & CARRY
354,80,MAKANYE CASH & CARRY MANKWENG
361,81,786 SUPERMARKET WHOLESALE & RETAIL
353,82,CHEAP CHEAP ZEBEDIELA
622,83,MORE 4 LESS TRADING
664,84,DANXING SUNSHINE (PTY) LTD
57,85,RAJA SOFT DRINKS & HARDWARE
350,86,SHALOM WHOLESALER
51,87,DROP TARGET DISTRIBUTION
380,88,M PREMJEE & SONS (PTY) LTD
52,89,QISMAT HARDWARE
624,90,AI RAINY DISTRIBUTORS
593,91,NJ WHOLESALER
332,92,HAMZA TRADING
15,93,BLUEMOON CASH N CARRY
613,94,MAHARANI DISTRIBUTORS
607,95,LNA INVESTMENTS
390,96,HASHIR RAZA TRADING
509,97,MABINS CASH AND CARRY
352,98,MUKKARAMMA MEAT & EAT
111,99,FZS CONSULTANTS (PTY) LTD
60,100,METRO AD'EED CASH AND CARRY (PTY) LTD
418,101,LIMPOPO CASH & CARRY
HB_CUT001,102,"Cut Price C,n,carry"
462,103,DHOOMBE GENERAL TRADING (PTY) LTD
381,104,UITDRAAI STORE MIBA
619,105,SHUBABES TRADING
457,106,TRIPPLE D WHOLESALERS
HB_HOP001,107,Hope Cash&Carry
594,108,BUNNING WHOLESALER & RETAIL CC
484,109,PANCHBHAYA GENERAL TRADING (PTY) LTD
398,110,KIATRA TRADING
157,111,HAWKERS PARADISE CASH & CARRY
141,112,HAJI YAMIN & SONS (PTY) LTD
411,113,MAMAS CASH & CARRY
137,114,BEST HARDWARE & WHOLESALE
345,115,MHLARE SOLUTION
63,116,LANDGANO SUPERMARKET CC
512,117,NOOR A LA NOOR TRADING CC T/A JABULA
508,118,MM ENTERPRISE
HB_JJ'001,119,JJ's Supermarket
HB_BUS001,120,BUSY CORNER HOP
682,121,EFREM WHOLESALE
493,122,WARICH CASH & CARRY JANE FURSE
155,123,DISCOUNT WHOLESALER & RETAILER
417,124,ITSTYM GENERAL TRADING  CC
478,125,CAPITAL CASH & CARRY
HB_QOL001,126,QOLWENI DISCOUNT SHOP
686,127,AL SYED TRADINGS
HB_NJ 001,128,NJ Comunitty Cash Store
HB_HAA001,129,HAARLEM SUPERMARKET
134,130,OSIZWENI WHOLESALER
186,131,VICTORIA WHOLSALLER
493,131,VICTORIA WHOLSALLER
595,132,NIGANJI TRADING
376,133,ROTENDA CONSORTIUM (PTY) LTD
51,133,ROTENDA CONSORTIUM (PTY) LTD
98,134,GAP BUILDING SUPPLIES
HB_SAJ001,135,SAJEED SUPERMARKET
80,136,METRO AWASH (PTY) LTD
432,137,CRUZ GROIP (PTY) LTD
355,138,CENTRAL HIGH TRADING 376CC
815,139,THOKOMAN FOODS SA (Pty) Ltd
HB_ARS001,140,Arsenal Shop
513,141,ROYAL SUPERMRKET MOKOPANE
90,142,PEEK-ABOO BABY SHOP
396,143,GREAT VALUE SUPERMARKET (OLD CHECK U)
HB_ALS001,144,Alshabaab Shop
422,145,SCORE ONE TRADING (HYPERSTAR CASH & CARRY)
893,146,SAJAL TRADERS
337,147,QORAHAY GENERAL TRADING
206,148,IMANSAME GENERAL TRADING
115,149,MH MAGNAT PTY LTD
724,150,ABANTU CASH AND CARRY
171,151,NORTHERN CAPE HARDWARE GANYESA
365,152,OCEAN CASH & CARRY
491,153,ASGARD TRADING
485,154,SUPER SAVE POLOKWANE
545,155,WORLD BLOOM (PTY) LTD
335,156,LANGA CASH N CARRY
66,157,TRIPLE E CONSTRUCTION - HYDE PARK
171,158,SA TRADING WHOLESALER
HB_FRI004,159,Friendly Shop Super Market
HB_GOL001,160,Golden Star Supermarket
