category_l1,year_week,period,quantity,revenue,num_orders,num_customers,date
Food,2025-W08,H1,101305,27152132.18,159,126,2025-02-17
Food,2025-W09,H1,46139,11720332.3,75,57,2025-02-24
Food,2025-W10,H1,91093,16392787.27,159,122,2025-03-03
Food,2025-W11,H1,64530,12193400.24,137,120,2025-03-10
Food,2025-W12,H1,131876,26691402.72,221,155,2025-03-17
Food,2025-W13,H1,114268,23501566.330000002,195,148,2025-03-24
Food,2025-W14,H1,169441,35039222.72,279,203,2025-03-31
Food,2025-W15,H1,75829,18248003.17,361,250,2025-04-07
Food,2025-W16,H1,68181,17288549.04,310,225,2025-04-14
Food,2025-W17,H1,89999,21574445.97,336,239,2025-04-21
Food,2025-W18,H1,114749,30427314.15,305,214,2025-04-28
Food,2025-W19,H1,136533,29484054.12,225,166,2025-05-05
Food,2025-W20,H1,147921,31826740.3,375,235,2025-05-12
Food,2025-W21,H1,141761,33375616.01,408,256,2025-05-19
Food,2025-W22,H1,104530,24830998.21,276,208,2025-05-26
Food,2025-W23,H1,47992,13208039.36,109,88,2025-06-02
Food,2025-W24,H1,85153,21320046.92,258,166,2025-06-09
Food,2025-W25,H1,68755,19403107.66,202,143,2025-06-16
Food,2025-W26,H1,96331,23304249.87,392,224,2025-06-23
Food,2025-W27,H2,99980,24379041.58,247,166,2025-06-30
Food,2025-W28,H2,195467,51282329.17,362,237,2025-07-07
Food,2025-W29,H2,110467,28392304.18,213,158,2025-07-14
Food,2025-W30,H2,172477,46645844.89,340,168,2025-07-21
Food,2025-W31,H2,190595,51553457.96,489,243,2025-07-28
Food,2025-W32,H2,116977,31482071.56,404,314,2025-08-04
Food,2025-W33,H2,239495,48712686.5,700,305,2025-08-11
Food,2025-W34,H2,142368,28529277.12,566,283,2025-08-18
Food,2025-W35,H2,169975,36478676.58,648,308,2025-08-25
Food,2025-W36,H2,163865,37627852.56,466,243,2025-09-01
Food,2025-W37,H2,128813,34952985.22,374,219,2025-09-08
Food,2025-W38,H2,86496,22668160.59,285,200,2025-09-15
Food,2025-W39,H2,100809,25015268.22,246,176,2025-09-22
Food,2025-W40,H2,128741,30893007.24,419,229,2025-09-29
Food,2025-W41,H2,158397,38240261.73,590,297,2025-10-06
Food,2025-W42,H2,70602,15977386.97,304,237,2025-10-13
Food,2025-W43,H2,157847,39300021.13,495,308,2025-10-20
Food,2025-W44,H2,391522,76564379.8,456,232,2025-10-27
Food,2025-W45,H2,325764,34101923.55,555,342,2025-11-03
Food,2025-W46,H2,337870,31303817.84,491,257,2025-11-10
Food,2025-W47,H2,1393602,49503117.57,1097,295,2025-11-17
Food,2025-W48,H2,591511,29103308.81,423,227,2025-11-24
Food,2025-W49,H2,241537,44865271.7,486,256,2025-12-01
Food,2025-W50,H2,264599,63344434.53,615,408,2025-12-08
Food,2025-W51,H2,264075,67256355.81,851,461,2025-12-15
Food,2025-W52,H2,8324,2267855.55,30,30,2025-12-22
Hardware,2025-W02,H1,30378,4742580.0,69,66,2025-01-06
Hardware,2025-W03,H1,50994,9118177.2,131,117,2025-01-13
Hardware,2025-W04,H1,90848,12209012.92,147,131,2025-01-20
Hardware,2025-W05,H1,124374,17736801.36,201,155,2025-01-27
Hardware,2025-W06,H1,234128,32460199.7,373,117,2025-02-03
Hardware,2025-W07,H1,249348,33043772.05,388,128,2025-02-10
Hardware,2025-W08,H1,185896,28526721.9,386,144,2025-02-17
Hardware,2025-W09,H1,117107,18720214.85,225,96,2025-02-24
Hardware,2025-W10,H1,21655,3965757.5,99,81,2025-03-03
Hardware,2025-W11,H1,22841,4197633.22,109,95,2025-03-10
Hardware,2025-W12,H1,29494,4873871.26,109,94,2025-03-17
Hardware,2025-W13,H1,35595,5790081.88,121,104,2025-03-24
Hardware,2025-W14,H1,27951,6095554.8,128,113,2025-03-31
Hardware,2025-W15,H1,16810,3014017.17,162,140,2025-04-07
Hardware,2025-W16,H1,318133,20057085.03,187,151,2025-04-14
Hardware,2025-W17,H1,482636,28926095.75,231,162,2025-04-21
Hardware,2025-W18,H1,165526,12511243.39,188,142,2025-04-28
Hardware,2025-W19,H1,22392,3302850.52,127,108,2025-05-05
Hardware,2025-W20,H1,47759,6022981.76,254,177,2025-05-12
Hardware,2025-W21,H1,46483,7704872.6,294,205,2025-05-19
Hardware,2025-W22,H1,16853,2565020.76,164,138,2025-05-26
Hardware,2025-W23,H1,149954,23280789.0,328,96,2025-06-02
Hardware,2025-W24,H1,142653,23861851.58,433,168,2025-06-09
Hardware,2025-W25,H1,159900,28457008.08,421,169,2025-06-16
