sku,name,avg_price,min_price,max_price,price_std,total_quantity,total_revenue,total_orders,active_weeks,brand,manufacturer,category_path,fmcg,category_l1,category_l2,category_l3,price_volatility
10110,CLERE B/CRM COCOA BUTTER 6X300ML,147.21702521008405,15.39,650.0,125.84706350264915,183091.8,21108968.68,2244,54,Clere,AMKA,Red101 Market/Toiletries/Personal Care/Cosmetics/Skincare/Lotions & Moisturisers,Amka Products Pty Ltd,Toiletries,Personal Care,Lotions & Moisturisers,85.48
10110,CLERE B/CRM COCOA BUTTER 6X300ML,147.21702521008405,15.39,650.0,125.84706350264915,183091.8,21108968.68,2244,54,Clere,AMKA,Red101 Market/Toiletries/Personal Care/Cosmetics/Skincare/Lotions & Moisturisers,Amka Products Pty Ltd,Toiletries,Personal Care,Lotions & Moisturisers,85.48
10111,CLERE B/CRM BERRIES AND CRM 6X300ML,131.85415887850468,15.39,650.0,93.77438802595732,130026.2,15508625.37,1983,55,Clere,AMKA,Red101 Market/Toiletries/Personal Care/Cosmetics/Skincare/Lotions & Moisturisers,Amka Products Pty Ltd,Toiletries,Personal Care,Lotions & Moisturisers,71.12
10111,CLERE B/CRM BERRIES AND CRM 6X300ML,131.85415887850468,15.39,650.0,93.77438802595732,130026.2,15508625.37,1983,55,Clere,AMKA,Red101 Market/Toiletries/Personal Care/Cosmetics/Skincare/Lotions & Moisturisers,Amka Products Pty Ltd,Toiletries,Personal Care,Lotions & Moisturisers,71.12
10111,CLERE B/CRM BERRIES AND CRM 6X300ML,131.85415887850468,15.39,650.0,93.77438802595732,130026.2,15508625.37,1983,55,Clere,AMKA,Red101 Market/Toiletries/Personal Care/Cosmetics/Skincare/Lotions & Moisturisers,Amka Products Pty Ltd,Toiletries,Personal Care,Lotions & Moisturisers,71.12
10112,CLERE H&B LOTION LAN & GLYCERINE 6X400ML,113.39628911138924,15.39,132.0,16.622354362576317,99459.0,11075664.68,1489,54,Clere,AMKA,Red101 Market/Toiletries/Personal Care/Cosmetics/Skincare/Lotions & Moisturisers,Amka Products Pty Ltd,Toiletries,Personal Care,Lotions & Moisturisers,14.66
10112,CLERE H&B LOTION LAN & GLYCERINE 6X400ML,113.39628911138924,15.39,132.0,16.622354362576317,99459.0,11075664.68,1489,54,Clere,AMKA,Red101 Market/Toiletries/Personal Care/Cosmetics/Skincare/Lotions & Moisturisers,Amka Products Pty Ltd,Toiletries,Personal Care,Lotions & Moisturisers,14.66
10113,CLERE H&B LOTION RICH MUSK 6X400ML,113.50261471230881,15.26,143.99,16.138044910172002,73568.0,8297323.02,1263,54,Clere,AMKA,Red101 Market/Toiletries/Personal Care/Cosmetics/Skincare/Lotions & Moisturisers,Amka Products Pty Ltd,Toiletries,Personal Care,Lotions & Moisturisers,14.22
10113,CLERE H&B LOTION RICH MUSK 6X400ML,113.50261471230881,15.26,143.99,16.138044910172002,73568.0,8297323.02,1263,54,Clere,AMKA,Red101 Market/Toiletries/Personal Care/Cosmetics/Skincare/Lotions & Moisturisers,Amka Products Pty Ltd,Toiletries,Personal Care,Lotions & Moisturisers,14.22
10114,CLERE H&B LOTION COCOA BUTTER 6X400ML,115.7653234421365,15.26,145.0,15.525147892103604,99245.6,11373703.9,1555,55,Clere,AMKA,Red101 Market/Toiletries/Personal Care/Cosmetics/Skincare/Lotions & Moisturisers,Amka Products Pty Ltd,Toiletries,Personal Care,Lotions & Moisturisers,13.41
10114,CLERE H&B LOTION COCOA BUTTER 6X400ML,115.7653234421365,15.26,145.0,15.525147892103604,99245.6,11373703.9,1555,55,Clere,AMKA,Red101 Market/Toiletries/Personal Care/Cosmetics/Skincare/Lotions & Moisturisers,Amka Products Pty Ltd,Toiletries,Personal Care,Lotions & Moisturisers,13.41
10115,CLERE H&B LOTION BERRIES & CRM 6X400ML,114.0518309859155,15.39,143.99,15.973639989584978,76314.0,8460402.05,1315,54,Clere,AMKA,Red101 Market/Toiletries/Personal Care/Cosmetics/Skincare/Lotions & Moisturisers,Amka Products Pty Ltd,Toiletries,Personal Care,Lotions & Moisturisers,14.01
10115,CLERE H&B LOTION BERRIES & CRM 6X400ML,114.0518309859155,15.39,143.99,15.973639989584978,76314.0,8460402.05,1315,54,Clere,AMKA,Red101 Market/Toiletries/Personal Care/Cosmetics/Skincare/Lotions & Moisturisers,Amka Products Pty Ltd,Toiletries,Personal Care,Lotions & Moisturisers,14.01
10116,CLERE 4MEN H&B LOTION ICE 6X400ML,112.01603789836348,16.38,126.74,21.383348391356957,68425.0,7022674.14,1096,54,Clere,AMKA,Red101 Market/Toiletries/Personal Care/Cosmetics/Skincare/Lotions & Moisturisers,Amka Products Pty Ltd,Toiletries,Personal Care,Lotions & Moisturisers,19.09
10116,CLERE 4MEN H&B LOTION ICE 6X400ML,112.01603789836348,16.38,126.74,21.383348391356957,68425.0,7022674.14,1096,54,Clere,AMKA,Red101 Market/Toiletries/Personal Care/Cosmetics/Skincare/Lotions & Moisturisers,Amka Products Pty Ltd,Toiletries,Personal Care,Lotions & Moisturisers,19.09
10117,CLERE 4MEN H&B LOTION FIRE 6X400ML,112.73,16.38,129.95,20.07990290595522,70847.0,7385855.56,1207,54,Clere,AMKA,Red101 Market/Toiletries/Personal Care/Cosmetics/Skincare/Lotions & Moisturisers,Amka Products Pty Ltd,Toiletries,Personal Care,Lotions & Moisturisers,17.81
10117,CLERE 4MEN H&B LOTION FIRE 6X400ML,112.73,16.38,129.95,20.07990290595522,70847.0,7385855.56,1207,54,Clere,AMKA,Red101 Market/Toiletries/Personal Care/Cosmetics/Skincare/Lotions & Moisturisers,Amka Products Pty Ltd,Toiletries,Personal Care,Lotions & Moisturisers,17.81
10118,CLERE P/J BP-PURE YELLOW 6X250ML,154.13004484304932,148.0,158.0,3.165999478945455,7044.0,1068071.0,213,44,Clere,AMKA,Red101 Market/Home & Garden/Household Supplies,Amka Products Pty Ltd,Home & Garden,Household Supplies,Household Supplies,2.05
10118,CLERE P/J BP-PURE YELLOW 6X250ML,154.13004484304932,148.0,158.0,3.165999478945455,7044.0,1068071.0,213,44,Clere,AMKA,Red101 Market/Home & Garden/Household Supplies,Amka Products Pty Ltd,Home & Garden,Household Supplies,Household Supplies,2.05
10119,CLERE P/J BP-PURE WHITE 6X250ML,154.33333333333334,149.0,158.0,3.019251534457844,6340.0,963019.0,226,46,Kisskids,Kisskids Diapers SA,Red101 Market/Home & Garden/Household Supplies,Bordar Group,Home & Garden,Household Supplies,Household Supplies,1.96
10119,CLERE P/J BP-PURE WHITE 6X250ML,154.33333333333334,149.0,158.0,3.019251534457844,6340.0,963019.0,226,46,Kisskids,Kisskids Diapers SA,Red101 Market/Home & Garden/Household Supplies,Bordar Group,Home & Garden,Household Supplies,Household Supplies,1.96
10120,CLERE P/J BP-PURE COCOA BUTTER 6X250ML,154.46306513409962,137.0,169.99,5.350253533853365,6243.0,946427.59,250,45,Kisskids,Kisskids Diapers SA,Red101 Market/Home & Garden/Household Supplies,Bordar Group,Home & Garden,Household Supplies,Household Supplies,3.46
10121,"HS GUTTER DOMESTIC BUDGET 100X75MMX3,6M",94.53802816901408,79.2,100.8,6.119017354875847,2871.0,275709.6,142,34,Unbranded,Unknown,Red101 Market/Hardware,Unknown,Hardware,Hardware,Hardware,6.47
