category_l1,date,period,quantity,revenue,num_orders,num_customers
Beverages,2025-09-13,H2,7060,1200779.2,9,9
Beverages,2025-09-15,H2,4,344.0,1,1
Beverages,2025-09-16,H2,1874,322089.4,6,6
Beverages,2025-09-17,H2,4968,856929.05,8,8
Beverages,2025-09-18,H2,6780,1178809.55,7,5
Beverages,2025-09-20,H2,4472,767920.5,12,12
Beverages,2025-09-23,H2,4626,801650.9,10,9
Beverages,2025-09-24,H2,16,1376.0,2,2
Beverages,2025-09-27,H2,6065,1045925.85,11,11
Beverages,2025-09-29,H2,3150,541786.15,8,8
Beverages,2025-09-30,H2,7608,1278935.5,22,21
Beverages,2025-10-01,H2,2190,376176.0,2,2
Beverages,2025-10-02,H2,660,113520.0,1,1
Beverages,2025-10-04,H2,182,31304.0,1,1
Beverages,2025-10-07,H2,118,12232.0,2,2
Beverages,2025-10-08,H2,2800,459592.0,9,9
Beverages,2025-10-09,H2,105,9240.0,2,2
Beverages,2025-10-10,H2,106,9412.0,3,3
Beverages,2025-10-11,H2,9,1548.0,1,1
Beverages,2025-10-13,H2,225,21840.0,5,5
Beverages,2025-10-16,H2,338,48392.0,6,6
Beverages,2025-10-17,H2,17,1496.0,1,1
Beverages,2025-10-20,H2,536,87649.0,4,4
Beverages,2025-10-21,H2,485,75356.0,2,2
Beverages,2025-10-22,H2,837,143652.0,3,3
Beverages,2025-10-25,H2,5279,899924.0,4,4
Beverages,2025-10-28,H2,96,8448.0,1,1
Beverages,2025-10-29,H2,2755,473405.0,2,2
Beverages,2025-10-31,H2,359,61748.0,2,2
Beverages,2025-11-01,H2,4893,111071.1,2,2
Beverages,2025-11-03,H2,5153,201398.5,4,4
Beverages,2025-11-04,H2,92,14862.0,4,4
Beverages,2025-11-05,H2,72,11859.5,3,3
Beverages,2025-11-06,H2,68,11832.0,1,1
Beverages,2025-11-07,H2,2672,61993.6,3,3
Beverages,2025-11-08,H2,5308,141371.0,3,3
Beverages,2025-11-10,H2,53,7461.0,2,2
Beverages,2025-11-11,H2,2720,61744.0,1,1
Beverages,2025-11-12,H2,37,2904.5,4,4
Beverages,2025-11-13,H2,2430,64087.7,2,2
Beverages,2025-11-15,H2,5255,156939.7,5,5
Beverages,2025-11-17,H2,12669,287287.26,7,7
Beverages,2025-11-18,H2,15304,346802.72,10,10
Beverages,2025-11-19,H2,1862,41220.76,8,7
Beverages,2025-11-20,H2,25876,586936.64,14,14
Beverages,2025-11-21,H2,13963,316062.98,13,13
Beverages,2025-11-22,H2,8160,185232.0,3,3
Beverages,2025-11-24,H2,18974,432864.16000000003,11,11
Beverages,2025-11-25,H2,44,5210.88,2,2
Beverages,2025-11-26,H2,2732,61866.88,2,2
Beverages,2025-11-27,H2,4560,103212.95999999999,5,5
Beverages,2025-11-29,H2,7205,163553.5,3,3
Beverages,2025-12-01,H2,224,17791.0,3,3
Beverages,2025-12-02,H2,1397,110915.0,4,4
Beverages,2025-12-03,H2,348,27492.0,2,2
Beverages,2025-12-04,H2,592,47008.0,2,2
Beverages,2025-12-05,H2,93,11453.0,3,3
Beverages,2025-12-06,H2,104,8620.0,2,2
Beverages,2025-12-08,H2,731,60566.0,4,4
Beverages,2025-12-09,H2,449,76496.0,4,4
Beverages,2025-12-10,H2,282,22278.0,1,1
Beverages,2025-12-11,H2,409,71166.0,2,2
Beverages,2025-12-12,H2,621,90798.0,4,4
Beverages,2025-12-13,H2,1223,211172.0,3,3
Beverages,2025-12-15,H2,4228,615350.0,8,7
Beverages,2025-12-17,H2,2562,443984.0,3,3
Beverages,2025-12-18,H2,4589,789074.0,5,5
Beverages,2025-12-19,H2,2964,509808.0,2,2
Beverages,2025-12-20,H2,348,60552.0,1,1
Brand Manufacturers,2025-06-30,H2,150,15660.0,6,5
Brand Manufacturers,2025-07-01,H2,1,145.0,1,1
Brand Manufacturers,2025-07-03,H2,1,145.0,1,1
Brand Manufacturers,2025-07-04,H2,46,12433.0,4,3
Brand Manufacturers,2025-07-05,H2,60,19200.0,1,1
Brand Manufacturers,2025-07-07,H2,91,24585.0,4,4
Brand Manufacturers,2025-07-08,H2,1,145.0,1,1
Brand Manufacturers,2025-07-09,H2,15,4275.0,6,6
Brand Manufacturers,2025-07-10,H2,13,3635.0,4,4
Brand Manufacturers,2025-07-11,H2,2,290.0,2,2
Brand Manufacturers,2025-07-12,H2,80,7270.0,3,3
Brand Manufacturers,2025-07-14,H2,21,2085.0,2,2
Brand Manufacturers,2025-07-15,H2,42,6760.0,3,3
Brand Manufacturers,2025-07-16,H2,1,145.0,1,1
Brand Manufacturers,2025-07-17,H2,5,725.0,5,5
Brand Manufacturers,2025-07-18,H2,13,1395.0,4,4
Brand Manufacturers,2025-07-19,H2,20,1940.0,1,1
Brand Manufacturers,2025-07-21,H2,152,36140.0,4,4
Brand Manufacturers,2025-07-22,H2,83,10675.0,4,4
Brand Manufacturers,2025-07-23,H2,131,12785.0,3,3
Brand Manufacturers,2025-07-24,H2,65,6275.0,8,8
Brand Manufacturers,2025-07-25,H2,61,5727.0,3,3
Brand Manufacturers,2025-07-26,H2,13,3865.0,2,2
Brand Manufacturers,2025-07-28,H2,222,22720.0,8,7
Brand Manufacturers,2025-07-29,H2,80,7333.0,6,6
Brand Manufacturers,2025-07-30,H2,13,3635.0,4,4
Brand Manufacturers,2025-07-31,H2,63,19635.0,5,4
Brand Manufacturers,2025-08-01,H2,10,3200.0,1,1
Brand Manufacturers,2025-08-02,H2,50,16000.0,1,1
Brand Manufacturers,2025-08-04,H2,20,4100.0,2,2
Brand Manufacturers,2025-08-05,H2,68,18304.0,2,2
Brand Manufacturers,2025-08-06,H2,60,10280.0,4,2
Brand Manufacturers,2025-08-07,H2,130,34640.0,2,2
Brand Manufacturers,2025-08-08,H2,16,1462.0,2,2
Brand Manufacturers,2025-08-09,H2,10,3200.0,1,1
Brand Manufacturers,2025-08-12,H2,147,46656.0,7,4
Brand Manufacturers,2025-08-13,H2,70,20180.0,3,3
Brand Manufacturers,2025-08-14,H2,130,11480.0,4,4
Brand Manufacturers,2025-08-15,H2,10,3200.0,1,1
Brand Manufacturers,2025-08-19,H2,34,10880.0,2,1
Brand Manufacturers,2025-08-20,H2,130,41700.0,3,2
Brand Manufacturers,2025-08-21,H2,20,1940.0,1,1
Brand Manufacturers,2025-08-22,H2,11,3520.0,2,1
Brand Manufacturers,2025-08-23,H2,1,320.0,1,1
Brand Manufacturers,2025-08-25,H2,10,3200.0,1,1
Brand Manufacturers,2025-08-26,H2,80,7270.0,3,3
Brand Manufacturers,2025-08-27,H2,20,1940.0,1,1
Brand Manufacturers,2025-08-28,H2,22,4920.0,2,2
Brand Manufacturers,2025-08-29,H2,20,1840.0,1,1
Brand Manufacturers,2025-09-01,H2,10,3200.0,1,1
Brand Manufacturers,2025-09-02,H2,60,19200.0,2,1
Brand Manufacturers,2025-09-03,H2,10,900.0,1,1
Brand Manufacturers,2025-09-04,H2,50,16000.0,1,1
Brand Manufacturers,2025-09-05,H2,50,7080.0,3,2
Brand Manufacturers,2025-09-06,H2,40,5840.0,2,2
Brand Manufacturers,2025-09-08,H2,122,34770.0,3,3
Brand Manufacturers,2025-09-09,H2,25,4580.0,2,2
Brand Manufacturers,2025-09-11,H2,10,3200.0,1,1
