sku,description,category,date,period,quantity,revenue,num_orders,num_customers
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-02-12,H1,30,18600.0,3,3
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-02-14,H1,50,31250.0,1,1
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-02-15,H1,10,6200.0,1,1
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-02-17,H1,10,6400.0,1,1
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-02-19,H1,20,12400.0,2,1
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-02-20,H1,20,12500.0,2,2
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-02-21,H1,30,18600.0,3,3
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-02-24,H1,10,6200.0,1,1
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-02-25,H1,60,37400.0,2,2
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-02-26,H1,50,32000.0,1,1
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-02-28,H1,20,12400.0,2,2
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-06-03,H1,50,31250.0,1,1
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-06-05,H1,10,6200.0,1,1
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-06-06,H1,10,6400.0,1,1
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-06-07,H1,20,12400.0,2,1
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-06-10,H1,10,6200.0,1,1
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-06-11,H1,30,18700.0,3,3
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-06-12,H1,10,6200.0,1,1
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-06-13,H1,60,37200.0,2,2
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-06-14,H1,10,6400.0,1,1
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-06-16,H1,50,32000.0,1,1
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-06-18,H1,50,31000.0,5,5
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-06-19,H1,110,68200.0,3,2
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-06-20,H1,10,6200.0,1,1
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-06-21,H1,10,6200.0,1,1
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-06-23,H1,21,12820.0,3,3
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-06-24,H1,10,6300.0,1,1
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-06-26,H1,50,31000.0,4,4
10005,CABLE GPW 2.5mm BLACK 100M COIL,Hardware,2025-06-27,H1,20,12100.0,2,2
10005,GPW 2.5mm BLACK 100M COIL,Hardware,2025-02-26,H1,10,6400.0,1,1
10005,GPW 2.5mm BLACK 100M COIL,Hardware,2025-06-16,H1,10,6400.0,1,1
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-01,H1,112,207200.0,2,2
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-03,H1,400,730000.0,4,4
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-04,H1,200,370000.0,3,3
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-05,H1,310,573500.0,7,5
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-06,H1,370,684500.0,7,6
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-07,H1,70,129500.0,3,3
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-08,H1,295,545750.0,4,3
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-10,H1,339,622650.0,11,10
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-11,H1,610,1128500.0,11,7
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-12,H1,300,555000.0,6,6
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-13,H1,260,481000.0,3,3
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-14,H1,300,555000.0,5,5
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-15,H1,420,777000.0,5,5
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-17,H1,100,185000.0,2,2
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-18,H1,41,75850.0,3,3
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-19,H1,420,777000.0,7,6
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-20,H1,300,555000.0,5,5
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-21,H1,160,296000.0,3,2
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-22,H1,260,481000.0,4,4
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-24,H1,150,277500.0,2,2
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-25,H1,140,259000.0,6,5
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-26,H1,210,388500.0,4,4
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-27,H1,39,74042.0,2,2
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-28,H1,590,1091500.0,9,6
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-02,H1,260,481000.0,3,3
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-03,H1,150,277500.0,2,2
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-04,H1,400,740000.0,6,6
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-05,H1,170,314500.0,2,2
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-06,H1,100,185000.0,2,2
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-07,H1,321,593850.0,7,7
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-09,H1,340,629000.0,6,6
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-10,H1,100,185000.0,2,2
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-11,H1,110,203500.0,2,1
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-12,H1,310,573500.0,5,5
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-13,H1,280,518000.0,7,6
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-14,H1,20,37000.0,2,2
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-16,H1,210,389000.0,4,4
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-17,H1,409,758042.0,7,5
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-18,H1,510,943500.0,9,9
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-19,H1,440,814000.0,7,6
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-20,H1,60,111000.0,3,2
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-21,H1,275,508750.0,7,6
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-23,H1,40,74000.0,3,3
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-24,H1,40,74000.0,2,2
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-25,H1,45,83250.0,2,2
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-26,H1,460,851000.0,11,9
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-27,H1,240,444000.0,8,7
10006,CABLE FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-28,H1,361,667850.0,8,8
10006,FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-02-26,H1,20,37000.0,1,1
10006,FTE 2.5mm X 2 CORE WHITE 100M COIL,Toiletries,2025-06-16,H1,20,37000.0,1,1
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-01-08,H1,64,4864.0,1,1
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-01-09,H1,20,1599.8,1,1
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-01-11,H1,48,3504.0,1,1
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-01-13,H1,492,35952.0,6,6
