customer_id,customer_name,primary_region,total_orders,total_units,total_revenue,avg_order_value,avg_days_between_orders,cycle_regularity,buyer_type,customer_segment,first_order,last_order,active_weeks
444,TROPICANA SUPERMARKET,Gauteng,13,5321.0,2893154.59,222550.35307692306,28.25,Irregular,High-Value Buyer,Small Retailer,2025-01-13,2025-12-18,11
111,SAMAD CASH AND CARRY,Hardware,178,201824.0,34117828.77,191673.19533707868,2.768,Bi-weekly,Bulk Buyer,Bulk/Wholesale,2025-01-08,2025-12-20,41
646,GAPCO SERVICES (PTY) LTD,Gauteng,17,2730.0,382755.73,22515.04294117647,21.0625,Irregular,Regular Buyer,Small Retailer,2025-01-17,2025-12-20,13
518,ZAKERA COSMETICS,Gauteng,28,13878.0,3757312.58,134189.73500000002,15.409090909090908,Sporadic,High-Value Buyer,Small Retailer,2025-01-14,2025-12-19,16
612,YEOVILLE CASH AND CARRY (PTY)LTD/SUPA SAVE,Gauteng,17,4712.0,581027.27,34178.074705882354,21.25,Irregular,Regular Buyer,Small Retailer,2025-01-14,2025-12-20,15
445,DISTRI FOODS,Gauteng,16,4366.0,940557.0700000001,58784.816875000004,22.6,Irregular,High-Value Buyer,Small Retailer,2025-01-13,2025-12-18,12
375,FRUITY FRESH,Gauteng,12,3469.0,664919.51,55409.95916666667,29.181818181818183,Irregular,High-Value Buyer,Small Retailer,2025-01-31,2025-12-18,11
316,UFI DISTRIBUTION CENTRE (PTY) LTD,Gauteng,17,5980.0,1293447.5799999998,76085.15176470588,20.25,Irregular,High-Value Buyer,Small Retailer,2025-01-30,2025-12-20,14
570,TANAAD GENERAL FASHIONS,Gauteng,10,8166.0,1172535.0,117253.5,31.125,Irregular,High-Value Buyer,Medium Retailer,2025-04-14,2025-12-19,7
83,TAWAKAL TOWIQ CASH AND CARRY,Gauteng,20,12196.0,2229645.7800000003,111482.28900000002,19.41176470588235,Sporadic,High-Value Buyer,Medium Retailer,2025-01-24,2025-12-20,16
643,TTK GLOBAL DISTRIBUTORS,Gauteng,21,25557.0,4427025.47,210810.73666666666,16.55,Sporadic,High-Value Buyer,Medium Retailer,2025-01-23,2025-12-20,18
480,Y&M SUPERMARKET,Polokwane,74,80755.0,15569707.50753846,210401.45280457378,5.088235294117647,Monthly,High-Value Buyer,Medium Retailer,2025-01-08,2025-12-20,42
682,EFREM WHOLESALE,Gauteng,73,117847.0,13973123.54,191412.6512328767,5.533333333333333,Bi-weekly,Bulk Buyer,Bulk/Wholesale,2025-01-22,2025-12-20,35
481,BISMILLAH WATLOO CASH & CARRY,Gauteng,54,74487.0,8530513.36,157972.46962962963,7.0625,Monthly,High-Value Buyer,Medium Retailer,2025-01-13,2025-12-18,35
681,STANLEY LOGISTICS (PVT) LTD,Gauteng,32,23109.0,4591245.09,143476.4090625,10.64516129032258,Monthly,High-Value Buyer,Medium Retailer,2025-01-24,2025-12-20,25
634,RECHARGE CASH N CARRY,Gauteng,45,58572.0,7194661.209999999,159881.3602222222,7.902439024390244,Monthly,High-Value Buyer,Medium Retailer,2025-01-30,2025-12-20,30
522,S.M WHOLESALERS CC,Gauteng,35,46883.0,7297618.18,208503.37657142855,11.1,Monthly,High-Value Buyer,Medium Retailer,2025-01-20,2025-12-19,22
347,NK INDUSTRIES (PTY) LTD,Gauteng,29,15499.0,3218971.0999999996,110999.00344827585,13.307692307692308,Sporadic,High-Value Buyer,Medium Retailer,2025-01-08,2025-12-20,22
555,BEST BEAUTY,Gauteng,13,3826.0,518038.9,39849.14615384616,31.181818181818183,Irregular,Regular Buyer,Small Retailer,2025-01-10,2025-12-19,11
59,FRONT ROW FMCG STORE,Gauteng,32,26875.0,4761562.76,148798.83625,11.533333333333333,Monthly,High-Value Buyer,Medium Retailer,2025-01-08,2025-12-20,23
509,MABINS CASH AND CARRY,Polokwane,104,151183.0,25072718.42,241083.83096153848,3.5157894736842104,Bi-weekly,Bulk Buyer,Bulk/Wholesale,2025-01-22,2025-12-22,41
800,FRESH PLANT PVT LIMITED,Gauteng,14,4486.0,887428.29,63387.735,26.0,Irregular,High-Value Buyer,Small Retailer,2025-01-16,2025-12-20,12
468,SMASH CAFE,Gauteng,17,12724.0,3405671.16,200333.59764705884,21.4375,Irregular,High-Value Buyer,Medium Retailer,2025-01-09,2025-12-18,13
653,FEMZ COSMETICS (PTY) LTD,Gauteng,33,33163.0,4933196.24,149490.79515151517,11.433333333333334,Monthly,High-Value Buyer,Medium Retailer,2025-01-11,2025-12-20,25
491,ASGARD TRADING,Gauteng,60,97863.0,11613244.14,193554.06900000002,6.745098039215686,Monthly,High-Value Buyer,Medium Retailer,2025-01-08,2025-12-18,34
562,777 SUPERMARKET,Gauteng,26,5049.0,913134.92,35120.57384615385,16.19047619047619,Sporadic,Regular Buyer,Small Retailer,2025-01-13,2025-12-19,17
656,KAYI CAPITAL,Gauteng,28,14835.0,3963355.2300000004,141548.40107142858,12.222222222222221,Sporadic,High-Value Buyer,Medium Retailer,2025-01-24,2025-12-20,22
430,BOKHA BROTHERS 786 PTY,Gauteng,39,55041.0,7455406.48,191164.26871794873,9.17142857142857,Monthly,High-Value Buyer,Medium Retailer,2025-01-31,2025-12-18,31
138,TREE BROTHER HOLY SELERS,Gauteng,16,5492.0,776509.0299999999,48531.814374999994,23.066666666666666,Sporadic,Regular Buyer,Small Retailer,2025-01-08,2025-12-20,15
506,CTX SUPPLIERS (PTY) LTD,Polokwane,58,58305.0,10832293.59,186763.68258620688,6.452830188679245,Monthly,High-Value Buyer,Medium Retailer,2025-01-10,2025-12-18,37
