customer_id,customer_name,primary_region,total_orders,total_units,total_revenue,avg_order_value,avg_days_between_orders,cycle_regularity,buyer_type,top_skus,first_order,last_order,active_weeks,customer_segment
323,ALAX HIRIG TUCKSHOP,Gauteng,20,2665.0,474034.83999999997,23701.742,19.166666666666668,Irregular,Regular Buyer,"10679,10008,10450,10449,10445",2025-01-08,2025-12-19,14,Small Retailer
162,KINGDOM DISTRIBUTOIN NETWORK,Gauteng,204,531494.0,61784744.43999999,302866.39431372547,2.4714285714285715,Weekly,Bulk Buyer,"10675,11119,10051,11755,11348",2025-01-08,2025-12-20,49,Bulk/Wholesale
370,METRO HOME CENTRE,Gauteng,23,15188.0,2702421.58,117496.59043478261,16.285714285714285,Sporadic,High-Value Buyer,"10051,10838,10682,11268,11490",2025-01-10,2025-12-18,20,Medium Retailer
451,NEW BLUE STAR CASH AND CARRY,Gauteng,71,86229.0,12577459.46,177147.31633802818,5.548387096774194,Bi-weekly,High-Value Buyer,"11497,10675,10051,11119,11755",2025-01-08,2025-12-18,41,Medium Retailer
411,MAMAS CASH & CARRY,Polokwane,169,184246.0,37442437.33196923,221552.88362111972,2.3972602739726026,Weekly,Bulk Buyer,"11119,10541,10032,10447,10025",2025-01-06,2025-12-22,48,Bulk/Wholesale
385,COSMO CASH AND CARRY,Gauteng,94,98845.0,16884927.35,179626.88670212767,4.3544303797468356,Bi-weekly,High-Value Buyer,"11119,10051,10414,11488,10093",2025-01-09,2025-12-19,41,Medium Retailer
417,ITSTYM GENERAL TRADING  CC,Gauteng,95,119563.0,20530910.950000003,216114.85210526318,4.454545454545454,Bi-weekly,Bulk Buyer,"10675,11119,11155,10969,11110",2025-01-10,2025-12-19,37,Bulk/Wholesale
15,BLUEMOON CASH N CARRY,Gauteng,101,153510.0,20398241.700000003,201962.78910891092,4.271604938271605,Bi-weekly,Bulk Buyer,"11119,11755,10675,10869,11514",2025-01-08,2025-12-20,43,Bulk/Wholesale
428,STUDENT SUPERMARKET,Polokwane,56,43814.0,11305120.796092309,201877.15707307696,6.111111111111111,Monthly,High-Value Buyer,"10025,10869,10447,10956,10024",2025-01-24,2025-12-20,36,Medium Retailer
593,NJ WHOLESALER,Gauteng,86,154588.0,20832325.68,242236.34511627906,4.9,Bi-weekly,Bulk Buyer,"10218,10051,11119,11755,10024",2025-01-10,2025-12-19,39,Bulk/Wholesale
662,ALL LOVE TRADING,Gauteng,41,37906.0,6032472.15,147133.46707317073,9.36111111111111,Monthly,High-Value Buyer,"11119,10165,10504,10678,11755",2025-01-17,2025-12-20,28,Medium Retailer
167,HEPLON SUPERMARKET,Gauteng,130,76115.0,10450759.3,80390.45615384616,3.8333333333333335,Monthly,High-Value Buyer,"12130,12064,10877,10876,10257",2025-01-09,2025-12-20,35,Medium Retailer
78,HONEYDEW CASH AND CARRY,Gauteng,156,234142.0,29076988.759999998,186390.95358974359,3.0442477876106193,Weekly,Bulk Buyer,"10675,11453,12064,10678,11755",2025-01-13,2025-12-23,45,Bulk/Wholesale
484,PANCHBHAYA GENERAL TRADING (PTY) LTD,Polokwane,154,136706.0,25011308.07,162411.09136363637,3.0636363636363635,Bi-weekly,Bulk Buyer,"10028,10025,10595,10541,10795",2025-01-17,2025-12-20,44,Bulk/Wholesale
537,Main Line Import & Export  (Pty) Ltd,Gauteng,168,327779.0,43388621.07,258265.60160714286,2.831932773109244,Weekly,Bulk Buyer,"11119,10675,10330,11514,11755",2025-01-16,2025-12-19,46,Bulk/Wholesale
332,HAMZA TRADING,Gauteng,141,170095.0,23502533.130000003,166684.6321276596,3.4257425742574257,Weekly,Bulk Buyer,"10675,10944,10244,10679,10209",2025-01-08,2025-12-20,46,Bulk/Wholesale
22,NEW KALKAAL,Gauteng,282,563819.0,80168609.83,284285.8504609929,1.8797814207650274,Weekly,Bulk Buyer,"11119,11453,10679,10675,11480",2025-01-10,2025-12-20,50,Bulk/Wholesale
175,DUNAMO WHOLESALE,Gauteng,22,12061.0,2079970.89,94544.13136363636,18.210526315789473,Sporadic,High-Value Buyer,"10244,10080,11348,10899,10028",2025-01-08,2025-12-20,18,Medium Retailer
589,VABRO DISTRIBUTORS,Gauteng,139,317978.0,40555824.41,291768.5209352518,3.320388349514563,Bi-weekly,Bulk Buyer,"11119,10679,11755,10447,10112",2025-01-11,2025-12-19,41,Bulk/Wholesale
53,QCCC (PTY) LTD,Gauteng,137,303691.0,38508848.32000001,281086.4840875913,3.1171171171171173,Weekly,Bulk Buyer,"11119,10679,10218,10447,11755",2025-01-08,2025-12-20,47,Bulk/Wholesale
226,JAMBO MART (PTY) LTD,Gauteng,52,55408.0,7626104.1899999995,146655.84980769228,6.764705882352941,Monthly,High-Value Buyer,"10058,10447,11152,11755,11518",2025-01-09,2025-12-20,37,Medium Retailer
21,GLOBAL FOOD CASH AND CARRY (PTY) LTD,Gauteng,89,75383.0,10026606.68,112658.5020224719,4.1375,Bi-weekly,High-Value Buyer,"12130,10679,11151,11755,10678",2025-01-23,2025-12-20,39,Medium Retailer
118,BAFANA WHOLESALER,Gauteng,74,65326.0,11831787.309999999,159889.0177027027,5.166666666666667,Bi-weekly,High-Value Buyer,"12130,11081,10052,10447,10051",2025-01-13,2025-12-20,39,Medium Retailer
47,METCASH TRADING AFRICA (PTY) LTD T/A CHAMPION CNC,Gauteng,563,1050565.0,155224944.66,275710.38127886323,1.3607843137254902,Weekly,Bulk Buyer,"11339,12130,11119,10675,10129",2025-01-10,2025-12-23,51,Bulk/Wholesale
153,RUPUSHI BANGLA WHOLESEL,Gauteng,19,9270.0,1503377.12,79125.11157894737,18.333333333333332,Sporadic,High-Value Buyer,"11480,10960,10959,10678,11271",2025-01-24,2025-12-20,16,Small Retailer
543,WOLMU TRADING (PTY) LTD,Gauteng,172,434246.0,51090469.42,297037.6129069768,2.8983050847457625,Weekly,Bulk Buyer,"11119,10675,10679,10678,11755",2025-01-11,2025-12-19,47,Bulk/Wholesale
202,MJ GROUP OF COMPANIES,Gauteng,231,687471.0,78685793.19,340631.1393506493,2.3469387755102042,Weekly,Bulk Buyer,"10675,10679,11119,10869,11755",2025-01-09,2025-12-20,47,Bulk/Wholesale
170,AK SUPERMARKET,Gauteng,86,50116.0,5826238.83,67746.96313953488,5.580645161290323,Monthly,High-Value Buyer,"12130,12064,12113,10956,10129",2025-01-08,2025-12-20,34,Medium Retailer
601,CHIBWAYS TRADING,Gauteng,136,292198.0,33694032.77,247750.2409558824,3.4343434343434343,Bi-weekly,Bulk Buyer,"11119,10675,10678,11890,11487",2025-01-13,2025-12-19,43,Bulk/Wholesale
107,KOSTEIN CHEAP STORE,Gauteng,60,28483.0,5086823.4399999995,84780.39066666666,8.64102564102564,Monthly,High-Value Buyer,"12130,10100,10048,11339,11340",2025-01-17,2025-12-20,27,Small Retailer
89,BIG ZAAD CASH & CARRY,Gauteng,101,121072.0,18018657.65,178402.550990099,3.9642857142857144,Bi-weekly,Bulk Buyer,"10051,11270,11453,10678,10026",2025-01-21,2025-12-20,42,Bulk/Wholesale
427,RIDGEWAY GARDEN SPAR,Gauteng,29,19231.0,2692320.0199999996,92838.62137931032,11.857142857142858,Sporadic,High-Value Buyer,"11183,10025,11119,10796,10797",2025-01-20,2025-12-18,22,Medium Retailer
93,FATIMA GENERAL STORE PTY LTD,Gauteng,28,30208.0,4357314.35,155618.36964285714,12.555555555555555,Sporadic,High-Value Buyer,"11119,10025,10869,10595,11432",2025-01-15,2025-12-20,23,Medium Retailer
206,IMANSAME GENERAL TRADING,Gauteng,65,99727.0,13760471.48,211699.56123076924,6.745098039215686,Monthly,High-Value Buyer,"10414,11158,11488,10051,11081",2025-01-10,2025-12-20,36,Medium Retailer
57,BATHO CASH N CARRY,Hardware,336,174732.0,36158487.15,107614.5450892857,2.392857142857143,Bi-weekly,Bulk Buyer,"12130,10256,12064,10257,10019",2025-01-22,2025-12-23,40,Bulk/Wholesale
114,SHANLEYSTE WHOLESALERS,Gauteng,28,24756.0,5160279.4,184295.69285714286,12.692307692307692,Sporadic,High-Value Buyer,"10051,11151,10048,10681,10979",2025-01-24,2025-12-20,21,Medium Retailer
517,ARAIA INVESTMENTS,Gauteng,175,470165.0,51734003.82000001,295622.8789714286,2.905982905982906,Weekly,Bulk Buyer,"11119,10675,10678,11482,10244",2025-01-13,2025-12-19,45,Bulk/Wholesale
415,FATIMA SUPERMARKET,Cape Town,65,43918.0,8759885.27,134767.46569230768,5.704918032786885,Monthly,High-Value Buyer,"10679,10675,10186,10793,10937",2025-01-06,2025-12-20,38,Medium Retailer
889,HORN AFRICA (PTY) LTD,Gauteng,35,30867.0,5160666.0,147447.6,10.272727272727273,Monthly,High-Value Buyer,"11119,10266,11474,10026,10028",2025-01-15,2025-12-20,28,Medium Retailer
68,A ALI TRADING CC T/A MARKET PLACE,Gauteng,88,60910.0,11758559.51,133619.99443181817,4.9855072463768115,Bi-weekly,High-Value Buyer,"12023,11339,11431,12022,10218",2025-01-13,2025-12-23,41,Medium Retailer
423,NORANI TRADING CHISTY SUPERMARKET,Polokwane,76,84581.0,16540857.01,217642.85539473683,4.602739726027397,Bi-weekly,High-Value Buyer,"10025,10447,10032,11119,10490",2025-01-17,2025-12-19,42,Medium Retailer
507,TEMBA DISCOUNT STORE 1 T/A TEMBA CASH N CARRY,Gauteng,87,63513.0,10175783.55,116963.02931034483,5.073529411764706,Bi-weekly,High-Value Buyer,"10244,11184,11110,11106,10678",2025-01-08,2025-12-19,40,Medium Retailer
389,A1 CASH AND CARRY,Gauteng,74,73363.0,12308803.45,166335.18175675673,5.532258064516129,Bi-weekly,High-Value Buyer,"10678,11110,10025,10026,10051",2025-01-10,2025-12-19,41,Medium Retailer
384,BUSHURA TUCKSHOP,Gauteng,32,3286.0,593610.86,18550.339375,12.321428571428571,Sporadic,Regular Buyer,"11518,11151,11516,11656,10080",2025-01-08,2025-12-19,16,Small Retailer
52,SWEET SHOP,Hardware,312,185004.0,27922840.89,89496.28490384616,2.263157894736842,Weekly,Bulk Buyer,"12130,12064,10031,10093,11339",2025-01-13,2025-12-23,43,Bulk/Wholesale
70,KISMAAYO CASH AND CARRY,Gauteng,123,208456.0,26377978.9,214455.11300813008,3.954022988505747,Bi-weekly,Bulk Buyer,"11119,11755,10166,10678,10447",2025-01-10,2025-12-20,44,Bulk/Wholesale
655,NOVELTY ENTERPRISE,Gauteng,21,2375.0,592207.41,28200.352857142858,17.15,Sporadic,Regular Buyer,"10447,10969,10959,11646,10318",2025-01-11,2025-12-20,19,Small Retailer
685,HBIN TRADING,Gauteng,67,88299.0,11426205.2,170540.37611940296,5.830508474576271,Monthly,High-Value Buyer,"11755,10679,11044,10944,10106",2025-01-10,2025-12-20,38,Medium Retailer
100,TBI (PTY) LTD,Gauteng,43,61718.0,9646535.389999999,224338.03232558136,8.35,Monthly,High-Value Buyer,"11106,11755,10447,10051,10965",2025-01-20,2025-12-20,31,Medium Retailer
61,APLOSOL,Polokwane,70,66765.0,12190333.576276923,174147.62251824175,5.421875,Bi-weekly,High-Value Buyer,"11119,10025,10026,10024,10541",2025-01-07,2025-12-20,38,Medium Retailer
478,CAPITAL CASH & CARRY,Gauteng,67,115493.0,14389243.029999997,214764.82134328355,6.142857142857143,Monthly,Bulk Buyer,"11119,10396,11829,11480,10587",2025-01-08,2025-12-18,36,Bulk/Wholesale
533,LEHLOGONOLO SHALANG,Gauteng,21,8842.0,1739114.4200000002,82814.97238095239,17.68421052631579,Sporadic,High-Value Buyer,"10244,11267,11119,10950,11505",2025-01-17,2025-12-19,17,Small Retailer
418,LIMPOPO CASH & CARRY,Polokwane,145,161146.0,33739721.76587405,232687.73631637276,2.7886178861788617,Weekly,Bulk Buyer,"10754,10025,10541,10263,10244",2025-01-13,2025-12-22,49,Bulk/Wholesale
