customer_id,customer_name,region_name,year_week,period,quantity,revenue,num_orders,date
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W12,H1,13776,2202808.0300000003,5,2025-03-17
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W13,H1,14520,2238349.6,5,2025-03-24
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W14,H1,14238,3259926.39,3,2025-03-31
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W15,H1,8761,1444449.75,5,2025-04-07
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W16,H1,19745,1739509.15,3,2025-04-14
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W17,H1,32111,2286953.25,3,2025-04-21
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W18,H1,19864,1664892.73,2,2025-04-29
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W19,H1,14182,3615545.61,2,2025-05-06
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W20,H1,5171,1012240.22,1,2025-05-14
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W21,H1,25088,1285760.0,1,2025-05-20
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W22,H1,6840,556401.15,1,2025-05-29
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W24,H1,3742,1958375.0,9,2025-06-09
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W25,H1,3065,357990.0,8,2025-06-17
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W26,H1,23669,4028576.79,4,2025-06-23
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W27,H2,17201,3522465.99,4,2025-06-30
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W28,H2,143,30634.989999999998,1,2025-07-10
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W29,H2,3719,1186528.0,2,2025-07-17
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W30,H2,30228,3279785.5,8,2025-07-21
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W31,H2,9146,1550432.9,13,2025-07-28
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W32,H2,6333,1518566.94,3,2025-08-05
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W33,H2,38802,4911285.15,10,2025-08-11
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W34,H2,6836,1239102.23,4,2025-08-20
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W35,H2,10388,1739093.08,5,2025-08-25
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W36,H2,11917,2400367.13,9,2025-09-02
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W37,H2,16163,3167927.5700000003,11,2025-09-09
